city,description
Addis-Ababa,Museum
Addis-Ababa,Monument
Addis-Ababa,Entoto Panoramic Viewpoint
Addis-Ababa,Africa Hall
Addis-Ababa,Monument
Addis-Ababa,Natural History Museum
Addis-Ababa,Entoto Maryam Church
Addis-Ababa,Kidane Mehret Church
Addis-Ababa,Addis Ababa University
Addis-Ababa,Addis Ababa Park
Addis-Ababa,Garden Fountain
Addis-Ababa,Walk Run
Addis-Ababa,Museum Park
Addis-Ababa,cold temrature nice view
Addis-Ababa,rides a bick acros the city
Addis-Ababa,oldest Church 
Addis-Ababa,hicking acros entoto moutain
Addis-Ababa,zoo for some animal
Addis-Ababa,africa's biggest roads run
Addis-Ababa,horse races
Jimma,Aba Jifar
Jimma,Coffe Culture
Jimma,best time is october to february
Jimma,museum
Jimma,ethiopian drinkes
Jimma,coffe cermony
Jimma,hiking picnicking
Jimma,Music Center
Jimma,Spa Resort
Jimma,Golf Club
Jimma,Waterfalls
Jimma,Palace Museum
Jimma,recreational  park
Jimma,Wildlife Sanctuary
Jimma,Sports Complex
Jimma,Environmental Center
Jimma,coffe testing tour
Jimma,watch movie at jimma cinema
Jimma,353 kilometers 
Jimma,219 miles
Jimma,Historical Museum
Axum,Stelae Park
Axum,Obelisks of Axum
Axum,King Ezana's Inscriptions
Axum,Axum Archaeological Museum
Axum,ruin of aksum
Axum,Dungur Palace
Axum,Church of Mary of Zion
Axum,Queen of Sheba's Palace
Axum,Axumite Baths
Axum,Great Stelae Field
Axum,House of the Ark of the Covenant
Axum,The Chapel of the Tablet
Axum,Axum Obelisk (Rome)
Axum,Ruins of Ancient Axum
Axum,Axumite Heritage Park
Axum,Monastery of Abba Pantaleon
Axum,Axum Tsion Mariam Church
Axum,Chapel of the Tablet
Axum,Ruins of Queen Sheba
Axum,St. Mary of Zion Cathedral
Axum,Ark of the Covenant
Axum,Queen Sheba Palace
Axum,Queen of Sheba's Palace
Axum,Queen of Sheba museum
Axum,hiking to mountain
Awash National Park and Doho Hot Springs , known for its diverse wildlife and landscapes.
Awash National Park and Doho Hot Springs ,Scenic national park in central Ethiopia
Awash National Park and Doho Hot Springs ,Explore the park's savannah plains acacia woodlands and the Awash River Gorge.
Awash National Park and Doho Hot Springs ,Spot wildlife such as oryx kudu gazelles baboons and over 450 bird species.
Awash National Park and Doho Hot Springs ,more bird species
Awash National Park and Doho Hot Springs ,Visit the Awash Falls a seasonal waterfall that cascades into a dramatic gorge.
Awash National Park and Doho Hot Springs ,Enjoy game drives nature walks and birdwatching with experienced guides.
Awash National Park and Doho Hot Springs ,Camp under the stars and experience the sounds of the African wilderness.
Awash National Park and Doho Hot Springs ,Learn about local culture and customs from nearby Afar and Somali communities.
Awash National Park and Doho Hot Springs ,Relax in natural hot springs renowned for their therapeutic properties.
Awash National Park and Doho Hot Springs ,Enjoy bathing in mineral-rich waters surrounded by scenic landscapes.
